image_id,image_path,group,subgroup,event_name,image_caption,image_tags
img_00045,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0061.jpg,College,birthdays,no_event,a crowd of people standing next to each other,"people standing, crowd people, crowd, people, standing"
img_00046,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0063.jpg,College,birthdays,no_event,a large group of people posing for a picture,"people posing, large group, posing picture, posing, group people"
img_00047,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0065.jpg,College,birthdays,no_event,a crowd of people standing around a fire pit,"crowd people, people standing, crowd, standing pit, people"
img_00048,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0067.jpg,College,birthdays,no_event,a crowd of people standing around a fire pit,"crowd people, people standing, crowd, standing pit, people"
img_00049,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0069.jpg,College,birthdays,no_event,a crowd of people standing around a fire hydrant,"crowd people, people standing, crowd, standing hydrant, hydrant"
img_00050,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0071.jpg,College,birthdays,no_event,a crowd of people standing around a room,"standing room, crowd people, crowd, people standing, room"
img_00051,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0073.jpg,College,birthdays,no_event,people standing around a table with food,"table food, standing table, people standing, food, table"
img_00052,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0075.jpg,College,birthdays,no_event,a crowd of people standing around a group of boys,"group boys, standing group, people standing, crowd people, crowd"
img_00053,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0077.jpg,College,birthdays,no_event,a large group of people standing in front of a wall,"people standing, standing wall, group people, large group, wall"
img_00054,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0079.jpg,College,birthdays,no_event,a crowd of people standing around a group of people,"crowd people, standing group, group people, people standing, crowd"
img_00055,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0081.jpg,College,birthdays,no_event,a crowd of people standing around a table with food,"table food, crowd people, standing table, people standing, crowd"
img_00056,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0083.jpg,College,birthdays,no_event,young men standing next to each other,"men standing, young men, standing, men, young"
img_00057,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0085.jpg,College,birthdays,no_event,a crowd of people standing around a table,"crowd people, standing table, crowd, people standing, table"
img_00058,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0087.jpg,College,birthdays,no_event,a woman standing in front of a group of people,"woman standing, standing group, group people, woman, standing"
img_00059,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0089.jpg,College,birthdays,no_event,a crowd of people standing around a group of people,"crowd people, standing group, group people, people standing, crowd"
img_00060,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0091.jpg,College,birthdays,no_event,a large group of people standing in front of a wall,"people standing, standing wall, group people, large group, wall"
img_00061,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0093.jpg,College,birthdays,no_event,a crowd of people standing next to each other,"people standing, crowd people, crowd, people, standing"
img_00062,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0095.jpg,College,birthdays,no_event,a large group of people posing for a picture,"people posing, large group, posing picture, posing, group people"
img_00063,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0097.jpg,College,birthdays,no_event,a birthday cake is sitting on a table,"birthday cake, cake sitting, sitting table, cake, birthday"
img_00064,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0099.jpg,College,birthdays,no_event,a crowd of people standing on a sidewalk,"standing sidewalk, people standing, crowd people, crowd, sidewalk"
img_00065,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0101.jpg,College,birthdays,no_event,a crowd of people posing for a picture,"people posing, crowd people, crowd, posing picture, posing"
img_00066,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0103.jpg,College,birthdays,no_event,a large group of people sitting on the ground,"people sitting, sitting ground, large group, group people, sitting"
img_00067,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0105.jpg,College,birthdays,no_event,a large group of people walking down a street with a dog,"people walking, group people, street dog, large group, people"
img_00068,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0107.jpg,College,birthdays,no_event,a crowd of people standing around a group of people,"crowd people, standing group, group people, people standing, crowd"
img_00069,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0109.jpg,College,birthdays,no_event,a group of people posing for a picture,"people posing, posing picture, posing, group people, people"
img_00070,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0111.jpg,College,birthdays,no_event,a birthday cake on a table with a person sitting next to it,"birthday cake, cake table, table person, cake, person sitting"
img_00071,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0113.jpg,College,birthdays,no_event,a man and a woman posing for a picture,"posing picture, posing, woman posing, man woman, picture"
img_00072,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0115.jpg,College,birthdays,no_event,a black and white cat standing on a sidewalk next to a man,"cat standing, white cat, cat, standing sidewalk, sidewalk man"
img_00073,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0117.jpg,College,birthdays,no_event,a large group of dogs standing next to a group of people,"group dogs, dogs standing, standing group, group people, large group"
img_00074,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0119.jpg,College,birthdays,no_event,a large group of children and a dog in front of a building,"dog building, children dog, group children, children, large group"
img_00075,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0121.jpg,College,birthdays,no_event,a dog standing on a sidewalk next to a group of people,"dog standing, standing sidewalk, sidewalk group, group people, sidewalk"
img_00076,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0123.jpg,College,birthdays,no_event,a crowd of people standing around a fire hydrant,"crowd people, people standing, crowd, standing hydrant, hydrant"
img_00077,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0125.jpg,College,birthdays,no_event,a large group of people sitting on a sidewalk with a dog,"people sitting, group people, sidewalk dog, sitting sidewalk, large group"
img_00078,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0127.jpg,College,birthdays,no_event,a large group of children and a dog in a parking lot,"dog parking, parking lot, children dog, group children, parking"
img_00079,D:\Personal\PHOTOS\College\Birthdays\IMG-20240208-WA0008.jpg,College,birthdays,no_event,a crowd of people standing in front of a wall,"crowd people, standing wall, crowd, people standing, wall"
img_00080,D:\Personal\PHOTOS\College\Birthdays\IMG-20240208-WA0009.jpg,College,birthdays,no_event,a young man standing on a sidewalk next to a building,"standing sidewalk, sidewalk building, man standing, sidewalk, young man"
img_00081,D:\Personal\PHOTOS\College\Birthdays\IMG-20240208-WA0010.jpg,College,birthdays,no_event,three men and two women standing in a parking lot,"standing parking, parking lot, parking, women standing, men women"
img_00082,D:\Personal\PHOTOS\College\Birthdays\IMG-20240208-WA0011.jpg,College,birthdays,no_event,a large group of people posing for a picture,"people posing, large group, posing picture, posing, group people"
img_00083,D:\Personal\PHOTOS\College\Birthdays\IMG-20240208-WA0012.jpg,College,birthdays,no_event,a large group of people standing in front of a building,"people standing, standing building, group people, large group, standing"
img_00084,D:\Personal\PHOTOS\College\Birthdays\IMG-20240208-WA0013.jpg,College,birthdays,no_event,a large group of people posing for a picture,"people posing, large group, posing picture, posing, group people"
img_00085,D:\Personal\PHOTOS\College\Birthdays\IMG-20240208-WA0014.jpg,College,birthdays,no_event,a crowd of people walking on a sidewalk,"walking sidewalk, people walking, crowd people, crowd, sidewalk"
img_00086,D:\Personal\PHOTOS\College\Birthdays\IMG-20240208-WA0015.jpg,College,birthdays,no_event,a crowd of people standing in front of a wall,"crowd people, standing wall, crowd, people standing, wall"
img_00087,D:\Personal\PHOTOS\College\Birthdays\IMG-20240220-WA0000.jpg,College,birthdays,no_event,a large group of people sitting on a sidewalk,"sitting sidewalk, people sitting, large group, group people, sidewalk"
img_00088,D:\Personal\PHOTOS\College\Birthdays\IMG-20240220-WA0001.jpg,College,birthdays,no_event,a large group of people standing on a sidewalk,"standing sidewalk, people standing, group people, sidewalk, large group"
img_00089,D:\Personal\PHOTOS\College\Birthdays\IMG-20250208-WA0009.jpg,College,birthdays,no_event,a large group of people standing in front of a building,"people standing, standing building, group people, large group, standing"
img_00090,D:\Personal\PHOTOS\College\Birthdays\IMG-20250208-WA0011.jpg,College,birthdays,no_event,a crowd of people standing in front of a building,"crowd people, people standing, crowd, standing building, people"
img_00091,D:\Personal\PHOTOS\College\Birthdays\IMG-20250208-WA0013.jpg,College,birthdays,no_event,a large group of people standing in front of a building,"people standing, standing building, group people, large group, standing"
img_00092,D:\Personal\PHOTOS\College\Birthdays\IMG-20250208-WA0015.jpg,College,birthdays,no_event,a large group of people standing in front of a building,"people standing, standing building, group people, large group, standing"
img_00093,D:\Personal\PHOTOS\College\Birthdays\IMG-20250208-WA0017.jpg,College,birthdays,no_event,a man holding a cell phone in front of a group of people,"phone group, man holding, cell phone, group people, holding cell"
img_00094,D:\Personal\PHOTOS\College\Birthdays\IMG-20250208-WA0019.jpg,College,birthdays,no_event,a person standing on a floor with a pair of shoes,"standing floor, pair shoes, person standing, floor pair, shoes"
img_00095,D:\Personal\PHOTOS\College\Birthdays\IMG-20250208-WA0021.jpg,College,birthdays,no_event,a woman standing next to a man in a room,"man room, woman standing, standing man, woman, standing"
img_00096,D:\Personal\PHOTOS\College\Birthdays\IMG-20250208-WA0023.jpg,College,birthdays,no_event,a crowd of people standing around a fire hydrant,"crowd people, people standing, crowd, standing hydrant, hydrant"
img_00097,D:\Personal\PHOTOS\College\Birthdays\IMG-20250208-WA0025.jpg,College,birthdays,no_event,a crowd of people standing in front of a building,"crowd people, people standing, crowd, standing building, people"
img_00098,D:\Personal\PHOTOS\College\Birthdays\IMG-20250208-WA0027.jpg,College,birthdays,no_event,a crowd of people standing in front of a building,"crowd people, people standing, crowd, standing building, people"
img_00099,D:\Personal\PHOTOS\College\Birthdays\IMG20231106002232_01.jpg,College,birthdays,no_event,three young men standing in front of a building,"men standing, young men, standing building, standing, building"
img_00100,D:\Personal\PHOTOS\College\Birthdays\IMG20231106002253_01.jpg,College,birthdays,no_event,young men standing next to each other,"men standing, young men, standing, men, young"
img_00101,D:\Personal\PHOTOS\College\Birthdays\IMG20231106002254_01.jpg,College,birthdays,no_event,people standing in front of a building,"people standing, standing building, standing, people, building"
img_00102,D:\Personal\PHOTOS\College\Birthdays\IMG20231106002254_03.jpg,College,birthdays,no_event,people standing in front of a building,"people standing, standing building, standing, people, building"
img_00103,D:\Personal\PHOTOS\College\Birthdays\IMG20231106002256_01.jpg,College,birthdays,no_event,people standing in front of a building,"people standing, standing building, standing, people, building"
img_00104,D:\Personal\PHOTOS\College\Birthdays\IMG20231106002257_01.jpg,College,birthdays,no_event,people standing in front of a building,"people standing, standing building, standing, people, building"
img_00105,D:\Personal\PHOTOS\College\Birthdays\IMG20231106002515.jpg,College,birthdays,no_event,people standing around a building,"standing building, people standing, standing, people, building"
img_00106,D:\Personal\PHOTOS\College\Birthdays\IMG20231106002518.jpg,College,birthdays,no_event,people standing around in a parking lot,"standing parking, people standing, parking lot, parking, standing"
img_00107,D:\Personal\PHOTOS\College\Birthdays\IMG20231106002710.jpg,College,birthdays,no_event,two men standing next to each other in front of a building,"men standing, standing building, standing, men, building"
img_00108,D:\Personal\PHOTOS\College\Birthdays\IMG20231106002908_01.jpg,College,birthdays,no_event,a man and a woman standing next to each other,"man woman, woman standing, standing, woman, man"
img_00109,D:\Personal\PHOTOS\College\Birthdays\IMG20231106002908_03.jpg,College,birthdays,no_event,a man and a woman standing next to each other,"man woman, woman standing, standing, woman, man"
img_00110,D:\Personal\PHOTOS\College\Birthdays\IMG20231106002908_05.jpg,College,birthdays,no_event,a man and a woman standing next to each other,"man woman, woman standing, standing, woman, man"
img_00111,D:\Personal\PHOTOS\College\Birthdays\IMG20231106002921.jpg,College,birthdays,no_event,a woman and a man standing next to each other,"woman man, man standing, standing, woman, man"
img_00112,D:\Personal\PHOTOS\College\Birthdays\IMG20231106002923.jpg,College,birthdays,no_event,a man and a woman standing next to each other,"man woman, woman standing, standing, woman, man"
img_00113,D:\Personal\PHOTOS\College\Birthdays\IMG20231106002929.jpg,College,birthdays,no_event,a man and a woman standing next to each other,"man woman, woman standing, standing, woman, man"
img_00114,D:\Personal\PHOTOS\College\Birthdays\IMG20231106002930.jpg,College,birthdays,no_event,a man standing next to a woman holding an umbrella,"holding umbrella, umbrella, man standing, standing woman, woman holding"
img_00115,D:\Personal\PHOTOS\College\Birthdays\IMG20231106002939.jpg,College,birthdays,no_event,a man and a woman standing next to each other,"man woman, woman standing, standing, woman, man"
img_00116,D:\Personal\PHOTOS\College\Birthdays\IMG20231106002959.jpg,College,birthdays,no_event,a man and a woman standing next to each other,"man woman, woman standing, standing, woman, man"
img_00117,D:\Personal\PHOTOS\College\Birthdays\IMG20231106003000.jpg,College,birthdays,no_event,a man and a woman standing next to each other,"man woman, woman standing, standing, woman, man"
img_00118,D:\Personal\PHOTOS\College\Birthdays\IMG20231106003008.jpg,College,birthdays,no_event,a man and a woman standing next to each other,"man woman, woman standing, standing, woman, man"
img_00119,D:\Personal\PHOTOS\College\Birthdays\IMG20231106003131.jpg,College,birthdays,no_event,two men standing next to each other on a sidewalk,"men standing, standing sidewalk, sidewalk, standing, men"
img_00120,D:\Personal\PHOTOS\College\Birthdays\IMG20231106003133.jpg,College,birthdays,no_event,a man and a woman standing next to each other,"man woman, woman standing, standing, woman, man"
img_00121,D:\Personal\PHOTOS\College\Birthdays\IMG20231106003214.jpg,College,birthdays,no_event,a man and a woman walking down the street,"walking street, man woman, woman walking, walking, street"
img_00122,D:\Personal\PHOTOS\College\Birthdays\IMG20231106003248_01.jpg,College,birthdays,no_event,two men standing next to each other on a sidewalk,"men standing, standing sidewalk, sidewalk, standing, men"
img_00123,D:\Personal\PHOTOS\College\Birthdays\IMG20231106004005.jpg,College,birthdays,no_event,a large group of people posing for a picture,"people posing, large group, posing picture, posing, group people"
img_00124,D:\Personal\PHOTOS\College\Birthdays\IMG20231106004006.jpg,College,birthdays,no_event,a group of people posing for a picture with a frisbee,"picture frisbee, people posing, frisbee, posing picture, posing"
img_00125,D:\Personal\PHOTOS\College\Birthdays\IMG20231106004008.jpg,College,birthdays,no_event,a large group of people posing for a picture,"people posing, large group, posing picture, posing, group people"
img_00126,D:\Personal\PHOTOS\College\Birthdays\IMG20231106004039.jpg,College,birthdays,no_event,young men standing next to each other,"men standing, young men, standing, men, young"
img_00127,D:\Personal\PHOTOS\College\Birthdays\IMG20231106004041.jpg,College,birthdays,no_event,young men and women posing for a picture,"women posing, young men, posing, posing picture, men women"
img_00128,D:\Personal\PHOTOS\College\Birthdays\IMG20231106004048.jpg,College,birthdays,no_event,a crowd of people standing around a group of people,"crowd people, standing group, group people, people standing, crowd"
img_00129,D:\Personal\PHOTOS\College\Birthdays\IMG20231106004051.jpg,College,birthdays,no_event,a large group of people posing for a picture,"people posing, large group, posing picture, posing, group people"
img_00130,D:\Personal\PHOTOS\College\Birthdays\IMG20231106004055.jpg,College,birthdays,no_event,men and women posing for a picture,"women posing, posing, posing picture, men women, men"
img_00131,D:\Personal\PHOTOS\College\Birthdays\IMG_20250204_000503.jpg,College,birthdays,no_event,a large group of people standing in front of a building,"people standing, standing building, group people, large group, standing"
img_00132,D:\Personal\PHOTOS\College\Birthdays\IMG_20250204_000510.jpg,College,birthdays,no_event,a large group of people standing in front of a building,"people standing, standing building, group people, large group, standing"
img_00133,D:\Personal\PHOTOS\College\Birthdays\IMG_20250204_000512.jpg,College,birthdays,no_event,a large group of people standing in front of a building,"people standing, standing building, group people, large group, standing"
img_00134,D:\Personal\PHOTOS\College\Birthdays\IMG_20250204_000514.jpg,College,birthdays,no_event,a large group of people standing in front of a building,"people standing, standing building, group people, large group, standing"
img_00135,D:\Personal\PHOTOS\College\Birthdays\IMG_20250204_000519.jpg,College,birthdays,no_event,a large group of people standing in front of a building,"people standing, standing building, group people, large group, standing"
img_00136,D:\Personal\PHOTOS\College\Birthdays\IMG_20250204_000520.jpg,College,birthdays,no_event,a large group of people standing in front of a building,"people standing, standing building, group people, large group, standing"
img_00137,D:\Personal\PHOTOS\College\Birthdays\IMG_20250204_000537.jpg,College,birthdays,no_event,a crowd of people standing in front of a building,"crowd people, people standing, crowd, standing building, people"
img_00138,D:\Personal\PHOTOS\College\Birthdays\IMG_20250204_000541.jpg,College,birthdays,no_event,a crowd of people standing in front of a building,"crowd people, people standing, crowd, standing building, people"
img_00139,D:\Personal\PHOTOS\College\Birthdays\IMG_20250204_000545.jpg,College,birthdays,no_event,a large group of people standing in front of a building,"people standing, standing building, group people, large group, standing"
img_00140,D:\Personal\PHOTOS\College\Birthdays\IMG_20250204_000549.jpg,College,birthdays,no_event,a crowd of people standing in front of a building,"crowd people, people standing, crowd, standing building, people"
img_00141,D:\Personal\PHOTOS\College\Birthdays\IMG_20250204_000600.jpg,College,birthdays,no_event,a large group of people standing in front of a building,"people standing, standing building, group people, large group, standing"
img_00142,D:\Personal\PHOTOS\College\Birthdays\IMG_20250204_000610.jpg,College,birthdays,no_event,a large group of people standing in front of a building,"people standing, standing building, group people, large group, standing"
img_00143,D:\Personal\PHOTOS\College\cat\IMG20250721091828.jpg,College,cat,no_event,a brown and white cat sleeping on a blanket,"cat sleeping, sleeping blanket, white cat, cat, blanket"
img_00144,D:\Personal\PHOTOS\College\cat\IMG20250721091847.jpg,College,cat,no_event,a cat laying on top of a blanket next to another cat,"cat laying, blanket cat, laying blanket, cat, laying"
img_00145,D:\Personal\PHOTOS\College\cat\IMG20250721091852.jpg,College,cat,no_event,a cat laying on a blanket on a bed,"cat laying, laying blanket, blanket bed, cat, blanket"
img_00146,D:\Personal\PHOTOS\College\cat\IMG20250721093027.jpg,College,cat,no_event,a cat laying on top of a bed,"cat laying, laying bed, cat, laying, bed"
img_00147,D:\Personal\PHOTOS\College\cat\IMG20250721093035.jpg,College,cat,no_event,a cat laying on top of a bed,"cat laying, laying bed, cat, laying, bed"
img_00148,D:\Personal\PHOTOS\College\cat\IMG20250721093051.jpg,College,cat,no_event,a cat laying on top of a bed next to another cat,"cat laying, bed cat, laying bed, cat, laying"
img_00149,D:\Personal\PHOTOS\College\cat\IMG20250721093104.jpg,College,cat,no_event,a cat laying on top of a bed,"cat laying, laying bed, cat, laying, bed"
img_00150,D:\Personal\PHOTOS\College\cat\IMG20250721093230.jpg,College,cat,no_event,a cat that is laying down on a bed,"cat laying, laying bed, cat, laying, bed"
img_00151,D:\Personal\PHOTOS\College\cat\IMG20250721093245.jpg,College,cat,no_event,a cat that is laying down on a bed,"cat laying, laying bed, cat, laying, bed"
img_00152,D:\Personal\PHOTOS\College\cat\IMG_20250911_210035.jpg,College,cat,no_event,a cat that is laying down on a rug,"cat laying, laying rug, rug, cat, laying"
img_00153,D:\Personal\PHOTOS\College\cat\IMG_20250911_210050.jpg,College,cat,no_event,a cat that is laying down on a rug,"cat laying, laying rug, rug, cat, laying"
img_00154,D:\Personal\PHOTOS\College\cat\IMG_20250911_210105.jpg,College,cat,no_event,a cat that is laying down on a bed,"cat laying, laying bed, cat, laying, bed"
img_00155,D:\Personal\PHOTOS\College\cat\IMG_20250911_210116.jpg,College,cat,no_event,a cat that is laying down on a rug,"cat laying, laying rug, rug, cat, laying"
img_00156,D:\Personal\PHOTOS\College\cat\IMG_20250911_210128.jpg,College,cat,no_event,a cat that is laying down on a rug,"cat laying, laying rug, rug, cat, laying"
img_00157,D:\Personal\PHOTOS\College\cat\IMG_20250911_210140.jpg,College,cat,no_event,a cat that is laying down on a bed,"cat laying, laying bed, cat, laying, bed"
